Date,Price
20/11/2020 23:00,18687.45
21/11/2020 23:00,18699.75
22/11/2020 23:00,18422.28
23/11/2020 23:00,18398.91
24/11/2020 23:00,19172.52
25/11/2020 23:00,18739.8
26/11/2020 23:00,17151.44
27/11/2020 23:00,17138.87
28/11/2020 23:00,17732.42
29/11/2020 23:00,18191.6
30/11/2020 23:00,19709.73
01/12/2020 23:00,18792.52
02/12/2020 23:00,19226.97
03/12/2020 23:00,19454.54
04/12/2020 23:00,18670.49
05/12/2020 23:00,19155.06
06/12/2020 23:00,19377.66
07/12/2020 23:00,19181.41
08/12/2020 23:00,18318.87
09/12/2020 23:00,18554.15
10/12/2020 23:00,18247.76
11/12/2020 23:00,18029.36
12/12/2020 23:00,18803.44
13/12/2020 23:00,19164.48
14/12/2020 23:00,19276.59
15/12/2020 23:00,19439.75
16/12/2020 23:00,21379.48
17/12/2020 23:00,22847.46
18/12/2020 23:00,23150.79
19/12/2020 23:00,23869.92
20/12/2020 23:00,23490.58
21/12/2020 23:00,22745.48
22/12/2020 23:00,23824.99
23/12/2020 23:00,23253.37
24/12/2020 23:00,23715.53
25/12/2020 23:00,24693.58
26/12/2020 23:00,26443.21
27/12/2020 23:00,26246.58
28/12/2020 23:00,27036.69
29/12/2020 23:00,27376.37
30/12/2020 23:00,28856.59
31/12/2020 23:00,28982.56
01/01/2021 23:00,29393.75
02/01/2021 23:00,32195.46
03/01/2021 23:00,33000.78
04/01/2021 23:00,32035.03
05/01/2021 23:00,34046.67
06/01/2021 23:00,36860.41
07/01/2021 23:00,39486.04
08/01/2021 23:00,40670.25
09/01/2021 23:00,40240.72
10/01/2021 23:00,38240.09
11/01/2021 23:00,35544.94
12/01/2021 23:00,34011.82
13/01/2021 23:00,37393.13
14/01/2021 23:00,39158.47
15/01/2021 23:00,36828.52
16/01/2021 23:00,36065.2
17/01/2021 23:00,35793.01
18/01/2021 23:00,36632.35
19/01/2021 23:00,36020.13
20/01/2021 23:00,35538.98
21/01/2021 23:00,30797.88
22/01/2021 23:00,33002.38
23/01/2021 23:00,32099.74
24/01/2021 23:00,32276.84
25/01/2021 23:00,32243.26
26/01/2021 23:00,32541.8
27/01/2021 23:00,30419.17
28/01/2021 23:00,33403.17
29/01/2021 23:00,34314.26
30/01/2021 23:00,34318.1
31/01/2021 23:00,33136.46
01/02/2021 23:00,33522.9
02/02/2021 23:00,35529.66
03/02/2021 23:00,37676.25
04/02/2021 23:00,37002.09
05/02/2021 23:00,38278.61
06/02/2021 23:00,39323.26
07/02/2021 23:00,38928.1
08/02/2021 23:00,46364.3
09/02/2021 23:00,46589.58
10/02/2021 23:00,44878.17
11/02/2021 23:00,48013.38
12/02/2021 23:00,47471.4
13/02/2021 23:00,47185.19
14/02/2021 23:00,48720.37
